0,1,2,3,4,5,6
688.34,"1,260.60","1,948.94","1,072.07","6,170.90","7,242.97",30-Nov-2007
449.51,990.49,"1,440.00",-39.25,"5,526.60","5,487.35",03-Dec-2007
116.31,"1,267.13","1,383.44",-332.86,"4,210.62","3,877.76",04-Dec-2007
-159.71,"1,613.99","1,454.28",480.18,"4,688.20","5,168.38",05-Dec-2007
227.54,"1,421.49","1,649.03",492.10,"4,363.30","4,855.40",06-Dec-2007
339.64,"1,139.08","1,478.72",-253.84,"4,680.08","4,426.24",07-Dec-2007
-230.15,"1,411.09","1,180.94",-192.12,"3,003.18","2,811.06",10-Dec-2007
341.31,"1,252.32","1,593.63",387.27,"3,662.47","4,049.74",11-Dec-2007
115.83,"1,611.60","1,727.43",-385.20,"4,960.26","4,575.06",12-Dec-2007
226.65,"1,639.98","1,866.63",-401.76,"4,310.10","3,908.34",13-Dec-2007
105.18,"1,293.09","1,398.27",-647.10,"4,423.12","3,776.02",14-Dec-2007
226.86,"1,080.38","1,307.24","-2,151.21","5,502.89","3,351.68",17-Dec-2007
659.15,659.75,"1,318.90","-2,736.48","5,903.07","3,166.59",18-Dec-2007
350.60,"1,191.61","1,542.21","-1,454.06","3,960.56","2,506.50",19-Dec-2007
890.42,806.78,"1,697.20",-766.72,"3,183.18","2,416.46",20-Dec-2007
332.65,"1,058.35","1,391.00",175.78,"3,148.92","3,324.70",24-Dec-2007
448.73,"1,408.78","1,857.51",538.29,"1,806.75","2,345.04",26-Dec-2007
787.92,"1,687.79","2,475.71",-702.64,"6,281.44","5,578.80",27-Dec-2007
166.69,"1,234.77","1,401.46",653.76,"2,266.80","2,920.56",28-Dec-2007
-442.99,"1,774.67","1,331.68",516.06,"2,391.96","2,908.02",31-Dec-2007
306.94,977.44,"1,284.38",-461.41,"1,350.10",888.69,01-Jan-2008
427.11,"1,183.38","1,610.49",-628.68,"4,426.81","3,798.13",02-Jan-2008
526.65,"1,497.85","2,024.50",-244.56,"5,654.54","5,409.98",03-Jan-2008
506.85,"1,445.60","1,952.45",16.01,"4,526.29","4,542.30",04-Jan-2008
327.64,"1,479.00","1,806.64","-1,543.44","5,475.53","3,932.09",07-Jan-2008
92.08,"1,538.58","1,630.66",570.65,"4,781.72","5,352.37",08-Jan-2008
85.51,"1,120.49","1,206.00",-392.03,"4,857.93","4,465.90",09-Jan-2008
388.73,"1,363.25","1,751.98",-253.34,"4,357.43","4,104.09",10-Jan-2008
1.92,"1,296.59","1,298.51",107.40,"3,699.89","3,807.29",11-Jan-2008
-193.55,"1,513.28","1,319.73",-257.66,"4,662.05","4,404.39",14-Jan-2008
-89.74,"1,319.10","1,229.36",-365.09,"5,461.90","5,096.81",15-Jan-2008
188.97,"1,676.02","1,864.99","-2,517.59","6,957.02","4,439.43",16-Jan-2008
734.75,"1,304.97","2,039.72","-2,267.40","6,520.05","4,252.65",17-Jan-2008
695.56,"1,336.10","2,031.66","-2,146.92","6,564.17","4,417.25",18-Jan-2008
"3,399.20","1,031.09","4,430.29","-3,296.73","7,592.66","4,295.93",21-Jan-2008
"2,778.71","1,596.93","4,375.64","-4,265.19","10,438.18","6,172.99",22-Jan-2008
"1,291.76","1,377.87","2,669.63","-3,021.54","8,752.24","5,730.70",23-Jan-2008
"1,117.03","1,023.80","2,140.83","-2,254.93","6,941.58","4,686.65",24-Jan-2008
248.35,"1,227.53","1,475.88",208.48,"4,481.15","4,689.63",25-Jan-2008
597.94,557.34,"1,155.28","-1,038.45","3,517.35","2,478.90",28-Jan-2008
98.82,663.21,762.03,-546.09,"3,420.81","2,874.72",29-Jan-2008
723.11,709.14,"1,432.25",-911.00,"3,546.54","2,635.54",30-Jan-2008
"2,160.35",985.33,"3,145.68","-3,938.00","9,041.07","5,103.07",31-Jan-2008
-115.40,"1,336.20","1,220.80",-126.93,"3,596.12","3,469.19",01-Feb-2008
731.83,913.00,"1,644.83",163.74,"3,177.41","3,341.15",04-Feb-2008
-135.16,965.15,829.99,311.78,"2,487.02","2,798.80",05-Feb-2008
357.32,"1,010.68","1,368.00",-485.94,"2,738.10","2,252.16",06-Feb-2008
230.70,763.31,994.01,-860.35,"3,002.02","2,141.67",07-Feb-2008
192.98,913.62,"1,106.60",-797.25,"3,484.31","2,687.06",08-Feb-2008
-22.27,"1,372.85","1,350.58","-1,268.67","6,516.71","5,248.04",11-Feb-2008
351.16,851.81,"1,202.97",-498.06,"3,659.85","3,161.79",12-Feb-2008
23.59,755.15,778.74,9.40,"3,818.73","3,828.13",13-Feb-2008
205.03,910.42,"1,115.45",60.99,"3,864.70","3,925.69",14-Feb-2008
138.66,810.19,948.85,261.20,"3,025.56","3,286.76",15-Feb-2008
-134.16,775.12,640.96,-342.08,"1,861.52","1,519.44",18-Feb-2008
-48.29,"1,071.70","1,023.41",329.25,"2,357.68","2,686.93",19-Feb-2008
256.18,738.80,994.98,-266.44,"3,143.11","2,876.67",20-Feb-2008
-140.68,889.48,748.80,209.43,"2,462.08","2,671.51",21-Feb-2008
105.49,573.62,679.11,-709.54,"2,963.56","2,254.02",22-Feb-2008
-316.49,"1,302.62",986.13,783.86,"2,380.17","3,164.03",25-Feb-2008
511.33,738.82,"1,250.15",-31.99,"2,359.65","2,327.66",26-Feb-2008
341.35,"1,023.89","1,365.24",350.45,"3,027.55","3,378.00",27-Feb-2008
732.38,"1,363.73","2,096.11",-809.10,"4,345.48","3,536.38",28-Feb-2008
742.79,976.49,"1,719.28",-334.87,"4,047.26","3,712.39",29-Feb-2008
80.47,"1,202.83","1,283.30",-711.31,"4,128.18","3,416.87",03-Mar-2008
170.23,975.48,"1,145.71",-512.33,"4,065.71","3,553.38",04-Mar-2008
-131.68,"1,175.31","1,043.63",-285.03,"3,075.27","2,790.24",05-Mar-2008
-66.79,"1,360.15","1,293.36",513.04,"4,366.77","4,879.81",07-Mar-2008
758.79,"1,119.50","1,878.29","-1,248.04","5,581.88","4,333.84",10-Mar-2008
303.36,"1,130.31","1,433.67",-539.24,"5,080.78","4,541.54",11-Mar-2008
-528.06,"1,280.38",752.32,127.94,"3,834.73","3,962.67",12-Mar-2008
56.44,"1,116.98","1,173.42",-108.50,"3,784.58","3,676.08",13-Mar-2008
100.33,"1,004.75","1,105.08",-358.00,"3,754.60","3,396.60",14-Mar-2008
211.48,916.40,"1,127.88",-658.22,"4,396.53","3,738.31",17-Mar-2008
177.33,939.02,"1,116.35","-1,011.05","5,499.69","4,488.64",18-Mar-2008
142.19,"1,486.85","1,629.04",30.54,"3,797.62","3,828.16",19-Mar-2008
-253.27,"1,089.88",836.61,376.13,"2,508.26","2,884.39",24-Mar-2008
399.97,"1,013.73","1,413.70","1,246.12","3,774.33","5,020.45",25-Mar-2008
-108.65,"1,172.57","1,063.92",393.91,"2,739.59","3,133.50",26-Mar-2008
339.84,"1,445.97","1,785.81",247.98,"4,558.58","4,806.56",27-Mar-2008
729.50,914.12,"1,643.62",-401.95,"3,464.45","3,062.50",28-Mar-2008
566.03,"1,314.69","1,880.72",-865.79,"3,824.84","2,959.05",31-Mar-2008
-289.56,"1,004.63",715.07,-638.86,"3,247.91","2,609.05",01-Apr-2008
264.37,833.51,"1,097.88",-135.65,"2,928.44","2,792.79",02-Apr-2008
265.39,856.84,"1,122.23",-393.41,"3,110.62","2,717.21",03-Apr-2008
579.84,795.83,"1,375.67",-848.57,"3,675.62","2,827.05",04-Apr-2008
245.93,660.17,906.10,346.04,"2,820.13","3,166.17",07-Apr-2008
447.79,639.24,"1,087.03",7.27,"2,604.64","2,611.91",08-Apr-2008
475.81,573.70,"1,049.51",-307.27,"2,346.81","2,039.54",09-Apr-2008
594.48,691.76,"1,286.24",-462.34,"2,995.14","2,532.80",10-Apr-2008
326.04,741.27,"1,067.31",-173.00,"2,779.18","2,606.18",11-Apr-2008
13.27,725.34,738.61,-56.52,"3,582.48","3,525.96",15-Apr-2008
-90.08,"1,007.36",917.28,-49.89,"2,986.83","2,936.94",16-Apr-2008
-59.87,"1,110.10","1,050.23",597.53,"3,446.51","4,044.04",17-Apr-2008
111.58,836.12,947.70,169.66,"2,686.28","2,855.94",21-Apr-2008
-119.54,"1,167.69","1,048.15",292.96,"2,394.68","2,687.64",22-Apr-2008
70.04,"1,024.31","1,094.35",-480.93,"3,217.13","2,736.20",23-Apr-2008
442.88,916.04,"1,358.92",-759.16,"4,384.58","3,625.42",24-Apr-2008
-75.47,973.58,898.11,313.09,"3,071.74","3,384.83",25-Apr-2008
-166.61,"1,085.05",918.44,-38.33,"2,547.75","2,509.42",28-Apr-2008
403.27,"1,306.41","1,709.68",232.18,"3,691.55","3,923.73",29-Apr-2008
-38.58,"1,328.31","1,289.73",-151.68,"3,565.83","3,414.15",30-Apr-2008
-18.00,"1,146.90","1,128.90",658.34,"3,004.35","3,662.69",02-May-2008
457.16,744.01,"1,201.17",-236.81,"2,999.98","2,763.17",05-May-2008
295.35,882.51,"1,177.86",-815.61,"3,895.26","3,079.65",06-May-2008
234.83,804.48,"1,039.31",88.30,"3,299.62","3,387.92",07-May-2008
609.51,734.90,"1,344.41",-724.49,"3,253.92","2,529.43",08-May-2008
180.16,"1,081.24","1,261.40",-619.34,"3,923.54","3,304.20",09-May-2008
241.01,668.88,909.89,-210.57,"2,532.58","2,322.01",12-May-2008
266.50,"1,096.62","1,363.12",73.93,"2,916.69","2,990.62",13-May-2008
310.41,899.08,"1,209.49",85.12,"2,538.04","2,623.16",14-May-2008
363.11,"1,099.37","1,462.48",706.88,"2,458.22","3,165.10",15-May-2008
392.10,690.06,"1,082.16",475.87,"2,391.28","2,867.15",16-May-2008
0.39,991.55,991.94,-320.50,"3,553.85","3,233.35",20-May-2008
452.66,951.42,"1,404.08",-776.63,"3,625.63","2,849.00",21-May-2008
415.16,930.17,"1,345.33",-537.35,"2,764.05","2,226.70",22-May-2008
750.03,663.69,"1,413.72",-654.31,"2,965.83","2,311.52",23-May-2008
842.05,652.89,"1,494.94","-1,337.33","3,252.84","1,915.51",26-May-2008
529.69,729.77,"1,259.46",-496.61,"2,749.02","2,252.41",27-May-2008
527.98,854.87,"1,382.85",-883.23,"4,068.15","3,184.92",28-May-2008
698.00,"1,335.12","2,033.12","-1,277.63","5,519.95","4,242.32",29-May-2008
729.93,"1,018.91","1,748.84",106.38,"3,965.71","4,072.09",30-May-2008
9.81,690.04,699.85,-349.84,"2,846.88","2,497.04",02-Jun-2008
262.49,717.65,980.14,"-1,020.70","3,920.84","2,900.14",03-Jun-2008
419.81,802.04,"1,221.85","-1,198.80","4,234.34","3,035.54",04-Jun-2008
570.03,936.95,"1,506.98","-1,418.34","5,221.69","3,803.35",05-Jun-2008
400.15,689.40,"1,089.55",76.65,"2,683.77","2,760.42",06-Jun-2008
"1,030.26",811.84,"1,842.10","-1,344.67","3,891.53","2,546.86",09-Jun-2008
296.39,"1,176.81","1,473.20",-910.16,"4,220.32","3,310.16",10-Jun-2008
546.47,611.98,"1,158.45",-217.27,"3,985.36","3,768.09",11-Jun-2008
500.44,634.99,"1,135.43","-1,211.20","4,375.62","3,164.42",12-Jun-2008
